Country;USD_Billions
Afghanistan;91,668
Albania;55,049
Algeria;776,956
Andorra;5,735
Angola;357,562
Antigua and Barbuda;3,009
Argentina;1369,902
Armenia;63,826
Aruba;5,257
Australia;1831,059
Austria;655,438
Azerbaijan;239,612
Bahamas, The;14,676
Bahrain;100,14
Bangladesh;1568,544
Barbados;6,024
Belarus;276,405
Belgium;834,155
Belize;5,695
Benin;58,278
Bhutan;12,049
Bolivia;133,771
Bosnia and Herzegovina;70,776
Botswana;51,878
Brazil;4456,611
Brunei Darussalam;39,133
Bulgaria;237,587
Burkina Faso;63,491
Burundi;12,585
Cabo Verde;5,438
Cambodia;129,428
Cameroon;153,371
Canada;2488,523
Central African Republic;6,653
Chad;49,422
Chile;642,824
China, People's Republic of;34540,882
Colombia;1085,436
Comoros;3,241
Congo, Dem. Rep. of the;177,341
Congo, Republic of ;38,373
Costa Rica;148,984
Croatia;176,812
Cyprus;52,138
Czech Republic;599,025
Côte d'Ivoire;224,322
Denmark;475,861
Djibouti;8,226
Dominica;1,286
Dominican Republic;290,353
Ecuador;288,797
Egypt;2123,027
El Salvador;79,859
Equatorial Guinea;31,927
Eritrea;no data
Estonia;64,579
Eswatini;14,232
Ethiopia;399,991
Fiji;14,003
Finland;353,638
France;4211,409
Gabon;51,577
Gambia, The;8,774
Georgia;92,846
Germany;5876,407
Ghana;254,864
Greece;417,058
Grenada;2,227
Guatemala;249,222
Guinea;62,523
Guinea-Bissau;5,722
Guyana;42,548
Haiti;38,307
Honduras;76,418
Hong Kong SAR;539,201
Hungary;431,625
Iceland;29,361
India;14619,782
Indonesia;4334,721
Iran;1600,141
Iraq;639,758
Ireland;676,965
Israel;524,996
Italy;3490,541
Jamaica;32,564
Japan;6398,275
Jordan;118,539
Kazakhstan;783,772
Kenya;349,036
Kiribati;0,424
Korea, Republic of;3105,151
Kosovo;27,966
Kuwait;250,249
Kyrgyz Republic;50,454
Lao P.D.R.;70,135
Latvia;78,97
Lebanon;66,678
Lesotho;6,703
Liberia;9,835
Libya;101,174
Lithuania;147,423
Luxembourg;98,258
Macao SAR;79,729
Madagascar;56,896
Malawi;38,45
Malaysia;1279,182
Maldives;12,931
Mali;64,507
Malta;37,5
Marshall Islands;0,253
Mauritania;34,887
Mauritius;37,216
Mexico;3179,864
Micronesia, Fed. States of;0,428
Moldova;43,227
Mongolia;62,678
Montenegro;18,999
Morocco;376,907
Mozambique;56,429
Myanmar;274,338
Namibia;33,233
Nauru;0,136
Nepal;160,162
Netherlands;1417,534
New Zealand;277,177
Nicaragua;56,697
Niger;49,378
Nigeria;1414,567
North Macedonia ;47,108
Norway;554,209
Oman;214,692
Pakistan;1511,574
Palau;0,273
Panama;177,428
Papua New Guinea;41,457
Paraguay;119,888
Peru;574,258
Philippines;1262,499
Poland;1793,561
Portugal;487,258
Puerto Rico;152,968
Qatar;342,412
Romania;856,96
Russian Federation;6512,069
Rwanda;47,39
Saint Kitts and Nevis;1,578
Saint Lucia;4,657
Saint Vincent and the Grenadines;2,017
Samoa;1,317
San Marino;2,666
Saudi Arabia;2032,55
Senegal;86,931
Serbia;180,04
Seychelles;3,917
Sierra Leone;28,491
Singapore;837,665
Slovak Republic;236,456
Slovenia;113,536
Solomon Islands;1,964
Somalia;28,576
South Africa;960,463
South Sudan, Republic of;15,645
Spain;2529,543
Sri Lanka;no data
Sudan;151,256
Suriname;13,138
Sweden;739,115
Switzerland;820,278
Syria;no data
São Tomé and Príncipe;1,421
Taiwan Province of China;1735,226
Tajikistan;51,547
Tanzania;249,808
Thailand;1683,069
Timor-Leste;6,96
Togo;28,347
Tonga;0,746
Trinidad and Tobago;48,025
Tunisia;169,976
Turkmenistan;169,272
Tuvalu;0,062
Türkiye, Republic of;3277,512
Uganda;157,38
Ukraine;621,637
United Arab Emirates;797,923
United Kingdom;4137,448
United States;27720,725
Uruguay;116,64
Uzbekistan;395,99
Vanuatu;0,962
Venezuela;210,817
Vietnam;1502,664
West Bank and Gaza;30,461
Yemen;68,583
Zambia;84,545
Zimbabwe;82,541
